"_id"	"notificationEntry"	"titelHashed"	"textLength"	"date"
"458"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"45"	"1457188598825"
"459"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"45"	"1457188598913"
"460"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"78"	"1457189737843"
"461"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"78"	"1457189737974"
"462"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"21"	"1457189824147"
"463"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"21"	"1457189824242"
"464"	"com.google.android.talk"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"33"	"1457192490239"
"465"	"com.google.android.talk"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"107"	"1457192747776"
"466"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"52"	"1457261229160"
"467"	"org.telegram.messenger"	"d27937f914ebe99ee315f04449678eccfb658191"	"18"	"1457261229684"
"468"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"36"	"1457286038358"
"469"	"com.skype.raider"	"485605f9f10de3675a9e30c70ea9069e7059c962"	"36"	"1457286038454"
"470"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"24"	"1457341759940"
"471"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"30"	"1457341760040"
"472"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"30"	"1457341760143"
"473"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"42"	"1457341760202"
"474"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"29"	"1457341760298"
"475"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"25"	"1457341760471"
"476"	"com.skype.raider"	"da39a3ee5e6b4b0d3255bfef95601890afd80709"	"30"	"1457341760503"
