,Pearson,Spearman
SummenwerteGeselligkeit,1.00,1.00
AmountCalls,-0.07,0.32
AverageDuration,0.46,0.59
UniqueCaller,0.06,0.33
maxNoCall,-0.04,0.34
MessagesAmount,-0.06,0.04
AverageMessageLength,0.11,0.04
AmountAppsUsed,-0.22,-0.25
NotificationProTag,-0.32,-0.11
DurchschnittlicheNachrichtenLaengeGesamt,-0.24,-0.22
